ROUTE_ID,ROUTE_NAME_CHI,ROUTE_NAME_ENG,IS_CIRCULAR
506,屯門碼頭至兆麟,Tuen Mun Ferry Pier to Siu Lun,0
K12,大埔墟站至八號花園,Tai Po Market Station to Eightland Garden,0
K14,大埔超級城至大埔墟站,Tai Po Mega Mall to Tai Po Market Station,0
K17,大埔墟站至富善,Tai Po Market Station to Fu Shin,0
K18,大埔墟站至廣福,Tai Po Market Station to Kwong Fuk,0
K51,富泰至大欖,Fu Tai to Tai Lam,0
K51A,富泰至掃管笏,Fu Tai to So Kwun Wat,0
K52,屯門站至龍鼓灘,Tuen Mun Station to Lung Kwu Tan,0
K53,屯門站至掃管笏,Tuen Mun Station to So Kwun Wat,1
K58,富泰至青山灣,Fu Tai to Castle Peak Bay,0
K65,元朗站至流浮山,Yuen Long Station to Lau Fau Shan,0
K65A,天水圍站至流浮山,Tin Shui Wai Station to Lau Fau Shan,0
K66,朗屏至大棠黃泥墩村,Long Ping to Tai Tong Wong Nai Tun Tsuen,0
K68,元朗工業邨至元朗公園,Yuen Long Industrial Estate to Yuen Long Park,1
K73,天恆至元朗西,Tin Heng to Yuen Long West,0
K74,天瑞至凹頭,Tin Shui to Au Tau,1
K75A,天水圍站至洪水橋,Tin Shui Wai Station to Hung Shui Kiu,1
K75P,天瑞至洪水橋,Tin Shui to Hung Shui Kiu,1
K76,天恆至天水圍站,Tin Heng to Tin Shui Wai Station,0
K52A,屯門站至曾咀,Tuen Mun Station to Tsang Tsui,0
K54,和田邨至屯門市中心,Wo Tin Estate to Tuen Mun Town Centre,1
